"price","bedroom","sqft","bathroom","amenity_count","cityid","cityname","citypopulation"
2750,2,1000,1,4,2,"San Francisco",815201
1929,0,441,1,11,2,"San Francisco",815201
3199,1,724,1,8,2,"San Francisco",815201
2100,1,550,1,5,2,"San Francisco",815201
3250,1,900,1.5,6,2,"San Francisco",815201
2975,0,527,1,7,2,"San Francisco",815201
3490,2,777,1,9,2,"San Francisco",815201
1975,1,535,1,3,2,"San Francisco",815201
4455,2,917,2,7,2,"San Francisco",815201
3688,1,673,1,7,2,"San Francisco",815201
4490,2,938,2,7,2,"San Francisco",815201
4596,2,804,2,8,2,"San Francisco",815201
3510,2,778,2,9,2,"San Francisco",815201
3100,2,715,1,5,2,"San Francisco",815201
3995,2,1400,2,5,2,"San Francisco",815201
3950,2,1000,1,6,2,"San Francisco",815201
3500,2,1100,1,6,2,"San Francisco",815201
2650,0,367,1,6,2,"San Francisco",815201
1850,0,450,1,6,2,"San Francisco",815201
1850,0,450,1,6,2,"San Francisco",815201
1850,0,450,1,6,2,"San Francisco",815201
3970,2,800,1,4,2,"San Francisco",815201
7650,4,2000,4,4,2,"San Francisco",815201
3100,1,781,1,3,2,"San Francisco",815201
4911,2,1496,2,6,2,"San Francisco",815201
2607,1,528,1,3,2,"San Francisco",815201
2800,1,700,1,3,2,"San Francisco",815201
1495,0,275,1,9,2,"San Francisco",815201
3295,3,850,1,6,2,"San Francisco",815201
1295,0,200,1,6,2,"San Francisco",815201
2777,0,433,1,9,2,"San Francisco",815201
4750,2,884,2,7,2,"San Francisco",815201
5200,1,950,1,5,2,"San Francisco",815201
2000,0,277,1,3,2,"San Francisco",815201
4200,3,1000,1.5,4,2,"San Francisco",815201
2295,1,550,1,4,2,"San Francisco",815201
1595,1,200,1,5,2,"San Francisco",815201
3090,1,665,1,8,2,"San Francisco",815201
3351,1,721,1,6,2,"San Francisco",815201
2713,1,472,1,7,2,"San Francisco",815201
1795,0,206,1,7,2,"San Francisco",815201
3556,1,604,1,8,2,"San Francisco",815201
2599,1,657,1,5,2,"San Francisco",815201
2575,1,750,1,4,2,"San Francisco",815201
2800,1,900,1,5,2,"San Francisco",815201
4950,2,1100,2,6,2,"San Francisco",815201
6195,3,1500,2,7,2,"San Francisco",815201
3751,1,625,1,9,2,"San Francisco",815201
3999,3,1039,2,5,2,"San Francisco",815201
7096,3,1816,3,8,2,"San Francisco",815201
2499,1,580,1,5,2,"San Francisco",815201
1750,1,600,1,6,2,"San Francisco",815201
4135,2,995,2,6,2,"San Francisco",815201
15000,5,3100,4.5,6,2,"San Francisco",815201
5436,2,907,2,9,2,"San Francisco",815201
3400,1,671,1,7,2,"San Francisco",815201
2732,2,1151,2,8,2,"San Francisco",815201
3995,2,771,1,6,2,"San Francisco",815201
4635,2,886,1,7,2,"San Francisco",815201
3758,2,732,2,8,2,"San Francisco",815201
3000,1,1180,2,7,2,"San Francisco",815201
4362,2,900,2,6,2,"San Francisco",815201
3145,1,636,1,7,2,"San Francisco",815201
4200,2,1000,1,4,2,"San Francisco",815201
2775,0,453,1,6,2,"San Francisco",815201
4000,2,1465,1,4,2,"San Francisco",815201
5500,2,1609,2,7,2,"San Francisco",815201
1780,1,300,1,4,2,"San Francisco",815201
2045,0,350,1,5,2,"San Francisco",815201
1780,1,300,1,4,2,"San Francisco",815201
2095,1,550,1,5,2,"San Francisco",815201
5113,3,1125,2,6,2,"San Francisco",815201
6300,4,2200,3,6,2,"San Francisco",815201
5200,3,1180,2,6,2,"San Francisco",815201
3180,2,1098,2,8,2,"San Francisco",815201
3962,1,812,1,7,2,"San Francisco",815201
4000,3,2000,2,6,2,"San Francisco",815201
3400,1,600,1,4,2,"San Francisco",815201
3995,1,678,1,4,2,"San Francisco",815201
5000,3,1191,1,5,2,"San Francisco",815201
4800,3,1300,2,3,2,"San Francisco",815201
5050,3,1600,2,3,2,"San Francisco",815201
3095,1,499,1,6,2,"San Francisco",815201
5050,3,1600,2,3,2,"San Francisco",815201
4999,2,1001,2,6,2,"San Francisco",815201
2950,1,850,1,9,2,"San Francisco",815201
2950,1,850,1,9,2,"San Francisco",815201
3000,1,1180,2,7,2,"San Francisco",815201
2745,2,1000,1.5,3,2,"San Francisco",815201
4795,2,1215,2,5,2,"San Francisco",815201
3000,1,1180,2,7,2,"San Francisco",815201
3877,2,861,2,8,2,"San Francisco",815201
4845,3,1265,2,6,2,"San Francisco",815201
3000,1,1180,2,7,2,"San Francisco",815201
3958,2,925,2,7,2,"San Francisco",815201
2400,1,610,1,5,2,"San Francisco",815201
1995,0,500,1,5,2,"San Francisco",815201
1290,1,682,1,6,2,"San Francisco",815201
7495,2,1435,2,8,2,"San Francisco",815201
3100,2,882,1,5,2,"San Francisco",815201
3950,2,1300,1.5,5,2,"San Francisco",815201
4995,3,829,2,6,2,"San Francisco",815201
7250,3,1600,2,5,2,"San Francisco",815201
8000,4,1632,2.5,3,2,"San Francisco",815201
27000,5,4341,5.5,7,2,"San Francisco",815201
12000,5,4400,5.5,8,2,"San Francisco",815201
12000,5,4000,5.5,8,2,"San Francisco",815201
2400,1,624,1,5,2,"San Francisco",815201
3675,1,884,1.5,5,2,"San Francisco",815201
7250,4,1500,2,5,2,"San Francisco",815201
9995,5,3600,5,8,2,"San Francisco",815201
5995,2,1255,2,7,2,"San Francisco",815201
3050,2,662,1,5,2,"San Francisco",815201
3995,1,1053,1.5,3,2,"San Francisco",815201
2200,0,600,1,4,2,"San Francisco",815201
7950,3,2500,2.5,5,2,"San Francisco",815201
5500,3,2600,2,4,2,"San Francisco",815201
3275,2,800,1,5,2,"San Francisco",815201
3995,1,700,1,7,2,"San Francisco",815201
9475,3,2100,3,7,2,"San Francisco",815201
2595,2,764,1,5,2,"San Francisco",815201
1995,0,335,1,5,2,"San Francisco",815201
7250,3,2000,2.5,5,2,"San Francisco",815201
