price,bedroom,sqft,bathroom,amenity_count,cityID
4000,2,1200.0,2.0,6,4
3000,2,1700.0,2.0,7,4
1800,1,600.0,1.0,5,4
1750,1,650.0,1.0,7,4
3200,2,1100.0,1.5,8,4
2050,1,650.0,1.0,8,4
1950,2,900.0,1.0,6,4
3700,2,800.0,1.0,6,4
1900,0,249.0,1.0,6,4
2750,3,1200.0,1.0,5,4
1874,1,700.0,1.0,3,4
1404,1,564.0,1.0,3,4
1700,1,575.0,1.0,5,4
1819,2,875.0,1.0,3,4
1675,1,705.0,1.0,3,4
1695,1,675.0,1.0,3,4
2500,2,1200.0,1.0,6,4
7000,4,1780.0,3.0,6,4
3095,1,535.0,1.0,6,4
4895,3,1060.0,1.5,7,4
2250,1,490.0,1.0,7,4
1995,0,405.0,1.0,6,4
2200,1,855.0,1.0,6,4
3500,4,1350.0,2.0,7,4
3350,2,964.0,1.0,7,4
3800,3,2400.0,2.5,5,4
2535,1,768.0,1.0,7,4
3000,1,430.0,1.0,8,4
3000,1,430.0,1.0,8,4
3000,1,659.0,1.0,8,4
2800,2,1600.0,2.5,5,4
1900,2,900.0,1.0,4,4
5900,5,1700.0,2.0,7,4
3000,2,1000.0,1.0,3,4
2095,1,668.0,1.0,8,4
4275,2,1000.0,1.5,8,4
4200,2,950.0,1.0,8,4
4250,2,1000.0,1.5,8,4
7350,5,1800.0,2.0,8,4
3200,2,924.0,2.0,4,4
5340,2,940.0,1.0,5,4
4500,3,1660.0,2.5,4,4
4000,4,2085.0,3.0,7,4
1850,1,700.0,1.0,4,4
2400,2,1000.0,1.0,7,4
3350,2,964.0,1.0,6,4
2800,1,650.0,1.0,6,4
1725,0,487.0,1.0,5,4
2000,3,1200.0,1.0,6,4
3200,3,1300.0,1.0,4,4
1979,2,675.0,1.0,5,4
1597,1,300.0,1.0,5,4
2525,2,700.0,1.0,8,4
2350,1,750.0,1.0,5,4
2100,1,600.0,1.0,8,4
2500,2,800.0,1.0,3,4
2395,1,756.0,1.0,7,4
2266,2,1114.0,2.0,7,4
2100,1,582.0,1.0,8,4
