price,bedroom,sqft,bathroom,amenity_count,cityid,pop_class
1124,1,351.0,1.0,3,1,2
1395,1,630.0,1.0,7,1,2
2395,2,1215.0,2.0,9,1,2
3365,1,920.0,1.0,9,1,2
2230,2,1170.0,2.0,9,1,2
1050,1,600.0,1.0,6,1,2
1050,0,400.0,1.0,6,1,2
3360,1,980.0,1.0,9,1,2
2170,1,775.0,1.0,9,1,2
1175,1,533.0,1.0,5,1,2
2540,2,1450.0,2.0,9,1,2
1347,2,900.0,1.0,5,1,2
2399,2,1010.0,2.0,9,1,2
1160,1,500.0,1.0,8,1,2
2265,2,1170.0,2.0,9,1,2
1671,1,591.0,1.0,3,1,2
1999,1,759.0,1.0,3,1,2
2500,1,842.0,1.0,3,1,2
2335,2,1010.0,2.0,9,1,2
1376,1,612.0,1.0,6,1,2
1552,2,1014.0,2.0,5,1,2
2225,2,1100.0,2.0,7,1,2
1345,0,420.0,1.0,4,1,2
1025,1,550.0,1.0,6,1,2
1540,1,843.0,1.0,9,1,2
1295,1,550.0,1.0,3,1,2
1475,1,745.0,1.0,9,1,2
2365,1,860.0,1.0,9,1,2
1839,1,880.0,1.0,9,1,2
1070,0,275.0,1.0,3,1,2
1625,1,695.0,1.0,9,1,2
1465,1,686.0,1.0,5,1,2
1325,1,576.0,1.0,5,1,2
1465,1,686.0,1.0,5,1,2
1810,2,1170.0,2.0,5,1,2
2350,3,1410.0,2.0,5,1,2
1465,1,686.0,1.0,5,1,2
1495,2,1175.0,2.0,5,1,2
1445,2,850.0,1.0,5,1,2
1525,2,1000.0,2.0,3,1,2
1890,2,998.0,2.0,3,1,2
1203,1,750.0,1.0,5,1,2
1630,1,739.0,1.0,9,1,2
1465,1,686.0,1.0,5,1,2
1639,1,686.0,1.0,7,1,2
2750,2,672.0,1.0,6,1,2
2500,3,1479.0,2.5,5,1,2
3750,3,1998.0,2.5,5,1,2
2700,2,999.0,1.5,5,1,2
2100,3,1759.0,2.0,5,1,2
2550,3,1737.0,2.5,5,1,2
2900,3,2237.0,2.5,5,1,2
2080,1,931.0,1.0,9,1,2
1810,2,998.0,2.0,5,1,2
899,0,288.0,1.0,7,1,2
4200,4,2917.0,4.0,7,1,2
1200,1,600.0,1.0,6,1,2
1465,1,686.0,1.0,5,1,2
1465,1,686.0,1.0,5,1,2
1686,1,750.0,1.0,5,1,2
1580,1,854.0,1.0,8,1,2
1495,2,1175.0,2.0,6,1,2
1810,2,998.0,2.0,3,1,2
1515,1,714.0,1.0,5,1,2
1550,1,720.0,1.0,5,1,2
1465,1,686.0,1.0,3,1,2
1465,1,686.0,1.0,5,1,2
2009,1,738.0,1.0,3,1,2
2675,2,1198.0,2.0,9,1,2
2075,1,778.0,1.0,9,1,2
2603,0,448.0,1.0,3,1,2
3002,1,692.0,1.0,3,1,2
1199,0,400.0,1.0,3,1,2
1969,1,638.0,1.0,3,1,2
1621,1,591.0,1.0,3,1,2
1844,1,778.0,1.0,3,1,2
1459,1,633.0,1.0,5,1,2
1099,1,527.0,1.0,5,1,2
1070,0,275.0,1.0,3,1,2
2960,2,1019.0,2.0,9,1,2
1375,1,705.0,1.0,6,1,2
1467,1,650.0,1.0,7,1,2
2080,1,765.0,1.0,9,1,2
1165,1,705.0,1.0,6,1,2
1458,1,654.0,1.0,6,1,2
1299,1,722.0,1.0,5,1,2
1409,1,633.0,1.0,6,1,2
