date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
12/30,Quiet and Bright 2br/1ba Richmond Seacliff Neighborhood,https://sfbay.craigslist.org/sfc/apa/7573448011.html,"$2,800",2br,,richmond / seacliff,1,"['open house dates', 'sunday 2023-01-01', 'monday 2023-01-02', 'tuesday 2023-01-03']"
12/30,"#204/ Newly Renovated, Pet Friendly, Gorgeous Space!",https://sfbay.craigslist.org/sfc/apa/7573445560.html,"$2,500",,396,lower nob hill,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
12/30,Modern Units near St. Mary's Square! 2 MONTHS FREE!,https://sfbay.craigslist.org/sfc/apa/7573447504.html,"$2,145",,,Nob Hill,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'no laundry on site', 'street parking', 'rent period: monthly']"
12/30,1 MONTH FREE!! Remodeled Kitchen w/ Laundry Onsite,https://sfbay.craigslist.org/sfc/apa/7573447495.html,"$1,725",,,Downtown,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'street parking', 'rent period: monthly']"
12/30,1 MONTH FREE! Adjacent to Golden Gate Theatre and Theatre District,https://sfbay.craigslist.org/sfc/apa/7573447489.html,"$2,595",1br,,Downtown,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'street parking', 'rent period: monthly']"
12/30,Upgraded Studio just Three blocks from Union Square! 2 MONTHS FREE!,https://sfbay.craigslist.org/sfc/apa/7573447484.html,"$1,995",,,Nob Hill,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'no laundry on site', 'street parking', 'rent period: monthly']"
12/30,"High-speed Internet Access, Vertical Blinds, Central Air and Heating",https://sfbay.craigslist.org/sfc/apa/7570417967.html,"$2,230",1br,650,alamo square / nopa,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'carport', 'rent period: monthly']"
12/30,"#5 / Available now! Shared Yard, Laundry In-Unit! Pets okay!",https://sfbay.craigslist.org/sfc/apa/7571295693.html,"$2,800",1br,455,nob hill,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
12/30,"#104 / Lovely Space, Available now, Co-living at its finest!",https://sfbay.craigslist.org/sfc/apa/7572551655.html,"$1,100",,,lower nob hill,shared,"['apartment', 'no laundry on site', 'street parking', 'rent period: monthly']"
12/30,"#6 / Newly Renovated, Laundry In-unit, Shared Yard!",https://sfbay.craigslist.org/sfc/apa/7571292900.html,"$4,100",2br,788,nob hill,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
12/30,#228/ Co-living Space Available now!,https://sfbay.craigslist.org/sfc/apa/7572551995.html,"$1,200",,,lower nob hill,shared,"['apartment', 'no laundry on site', 'street parking', 'rent period: monthly']"
12/30,$4800 / Miraloma Gem! Gorgeous Single Family Home Available now!,https://sfbay.craigslist.org/sfc/apa/7572553428.html,"$4,800",3br,,castro / upper market,2,"['house', 'w/d in unit', 'attached garage', 'rent period: monthly']"
12/30,"$7595 / Gorgeous Space! Love this Location, Newly Remodeled!",https://sfbay.craigslist.org/sfc/apa/7572553725.html,"$7,595",5br,,mission district,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
12/30,"Gorgeous Space, LOVE this location, nice natural light!",https://sfbay.craigslist.org/sfc/apa/7573445693.html,"$3,800",2br,759,mission district,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
12/30,Charmin Jr 1 bedroom cottage,https://sfbay.craigslist.org/sfc/apa/7571608895.html,"$2,100",1br,700,russian hill,1,"['cottage/cabin', 'no laundry on site', 'street parking', 'rent period: monthly']"
12/30,"Skybox lounge, Backyard terrace with pizza oven, Public art plaza",https://sfbay.craigslist.org/sfc/apa/7569966004.html,"$7,250",3br,1146,SOMA / south beach,2,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/30,"#303/ Brand new space, Pets Welcome, Great Light, In-unit Laundry",https://sfbay.craigslist.org/sfc/apa/7573443678.html,"$3,195",1br,627,lower nob hill,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
12/30,Lovely Apartment Full of Light,https://sfbay.craigslist.org/sfc/apa/7573442833.html,"$3,000",1br,800,potrero hill,1,"['apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
12/30,"1 MONTH FREE on Affordable Studio at Ava Nob Hill, Check it out Today!",https://sfbay.craigslist.org/sfc/apa/7570305678.html,"$1,112",,371,nob hill,1,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'detached garage', 'rent period: monthly', 'wheelchair accessible']"
12/30,2br 2 ba Lease Takeover until 9/23,https://sfbay.craigslist.org/sfc/apa/7566102907.html,"$4,200",2br,948,SOMA / south beach,2,"['application fee details: $40', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'detached garage', 'rent period: monthly', 'wheelchair accessible']"
12/30,"Reserved Covered Parking, Central Air and Heating, Balcony/Deck/Patio",https://sfbay.craigslist.org/sfc/apa/7573441659.html,"$2,732",2br,1151,bayview,2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
12/30,Sunny 1 Bedroom/1 Bathroom with View,https://sfbay.craigslist.org/sfc/apa/7573441572.html,"$3,500",1br,813,lower pac hts,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/30,Large 2 bedroom apartment - Now Available!,https://sfbay.craigslist.org/sfc/apa/7573441209.html,"$3,195",2br,,ingleside / SFSU / CCSF,1,"['apartment', 'laundry in bldg', 'detached garage', 'rent period: monthly']"
12/30,"4-8 Weeks FREE Limited-time Promo. Appliances Incl., City View&More!",https://sfbay.craigslist.org/sfc/apa/7573436609.html,"$2,942",1br,587,lower nob hill,1,"['open house dates', 'saturday 2022-12-31', 'monday 2023-01-02', 'tuesday 2023-01-03']"
12/30,"4-8 Weeks FREE Limited-time Promo. Appliances Incl., City View&More!",https://sfbay.craigslist.org/sfc/apa/7573437365.html,"$3,751",1br,670,lower nob hill,1,"['open house dates', 'saturday 2022-12-31', 'monday 2023-01-02', 'tuesday 2023-01-03']"
12/30,The Holidays are Here! Treat Yourself to a new 2x1 Apartment!,https://sfbay.craigslist.org/sfc/apa/7573439571.html,"$3,950",2br,700,pacific heights,1,"['cats are OK - purrr', 'apartment', 'laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
12/30,"4-8 Weeks FREE Limited-time Promo. Appliances Incl., City View&More!",https://sfbay.craigslist.org/sfc/apa/7573434672.html,"$2,525",,472,lower nob hill,1,"['open house dates', 'saturday 2022-12-31', 'monday 2023-01-02', 'tuesday 2023-01-03']"
12/30,Amazing studio in sunset district,https://sfbay.craigslist.org/sfc/apa/7573438947.html,"$1,650",1br,280,sunset / parkside,1,"['apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']"
12/30,"4-8 Weeks FREE Limited-time Promo. Appliances Incl., City View&More!",https://sfbay.craigslist.org/sfc/apa/7573438581.html,"$3,979",1br,969,lower nob hill,1,"['open house dates', 'saturday 2022-12-31', 'monday 2023-01-02', 'tuesday 2023-01-03']"
12/30,L Haight | 3Bd 2Ba Flat | Balcony | Yard | Garage | Laundry | ReLISTO,https://sfbay.craigslist.org/sfc/apa/7573437827.html,"$5,650",3br,1396,lower haight,2,['saturday 2022-12-31']
12/30,"Video entry system, Architectural distinction, Gas range",https://sfbay.craigslist.org/sfc/apa/7566249085.html,"$2,200",,300,lower nob hill,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'no parking', 'rent period: monthly']"
12/30,VINTAGE MEETS MODERN IN NOB HILL 1BD 1BA WITH W/D IN UNIT,https://sfbay.craigslist.org/sfc/apa/7572755884.html,"$3,095",1br,,Nob Hill,1,"['application fee details: $35 one-time application processing fee when you apply', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly']"
12/30,BEAUTIFUL PACIFIC HEIGHTS 2BD 1BA WITH LARGE CLOSETS,https://sfbay.craigslist.org/sfc/apa/7572752896.html,"$4,695",2br,,Pacific Heights,1,"['application fee details: $35 one-time application processing fee when you apply', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'no parking', 'rent period: monthly']"
12/30,VINTAGE CLASSIC LOWER NOB HILL 2BD 1BA WITH W/D IN UNIT,https://sfbay.craigslist.org/sfc/apa/7572748585.html,"$3,795",2br,,Lower Nob Hill,1,"['application fee details: $35 one-time application processing fee when you apply', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly']"
