date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
1/10,"Online Payments Available, Elevate Fitness Experience, Elevators",https://houston.craigslist.org/apa/d/houston-online-payments-available/7574886184.html,"$1,980",2br,1473,,2,"['apartment', 'w/d in unit', 'detached garage', 'rent period: daily']"
1/10,"Quaint Neighborhood, Laundry Facilities, Spacious Cabinets and Counter",https://houston.craigslist.org/apa/d/houston-quaint-neighborhood-laundry/7568781106.html,$962,2br,960,"8323 Cinnamon Ln, Houston, TX",2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"2 Whirlpools, 24/7 Emergency Maintenance, Courtesy Patrol Services",https://houston.craigslist.org/apa/d/houston-whirlpools-24-emergency/7573370774.html,$878,1br,603,,1,"['apartment', 'w/d hookups', 'carport', 'rent period: monthly']"
1/10,"Brushed Nickel Fixtures and Hardware, Balcony, Flat Top Stove",https://houston.craigslist.org/apa/d/houston-brushed-nickel-fixtures-and/7574212348.html,$930,1br,714,"4010 Linkwood Dr, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Ceiling Fans, Breakfast Serving Area, Convenient Laundry Facilities",https://houston.craigslist.org/apa/d/houston-ceiling-fans-breakfast-serving/7569449191.html,$970,1br,816,,1,"['apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/10,★ HOUSE FOR LEASE | LUXMAXLeasing.com,https://houston.craigslist.org/apa/d/houston-house-for-lease-luxmaxleasingcom/7570846604.html,"$3,400",4br,3135,Spring Branch | Kirkwood | I-10,3,"['air conditioning', 'application fee details: Hablo Espanol!  Llame Hoy!', 'broker fee details: Client to execute disclosures prior to setting appointment', 'cats are OK - purrr', 'dogs are OK - wooof', 'house', 'w/d in unit', 'listed by: Call LUXMAX Realty Group today!', 'no smoking', 'attached garage', 'rent period: monthly']"
1/10,"Fitness Center, Washer/Dryer, Covered Parking",https://houston.craigslist.org/apa/d/clute-fitness-center-washer-dryer/7574780815.html,"$1,059",1br,756,"Lake Jackson, Tx",1,"['open house dates', 'wednesday 2023-01-04', 'thursday 2023-01-05', 'friday 2023-01-06']"
1/10,"24/7 Emergency Maintenance, 5 Swimming Pools, Sand Volleyball Court",https://houston.craigslist.org/apa/d/houston-24-emergency-maintenance/7571351690.html,$796,1br,614,,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d hookups', 'carport', 'rent period: monthly']"
1/10,"Home Office, Private Patios, Water Fill Station and Vending Machine",https://houston.craigslist.org/apa/d/houston-home-office-private-patios/7574210358.html,"$1,165",2br,750,"1714 Wirt Road, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Spacious Walk-in Closets, Online Payments Available, Movie Theater",https://houston.craigslist.org/apa/d/houston-spacious-walk-in-closets-online/7574996837.html,"$1,465",1br,1025,,1,"['apartment', 'w/d in unit', 'detached garage', 'rent period: daily']"
1/10,"Courtesy Patrol, Hardwood Style Flooring, Metro Bus Line Stop Nearby",https://houston.craigslist.org/apa/d/houston-courtesy-patrol-hardwood-style/7568901355.html,$822,1br,722,"8323 Cinnamon Ln, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,Luxury At the Best Price!,https://houston.craigslist.org/apa/d/spring-luxury-at-the-best-price/7577174727.html,"$1,199",1br,,Spring,1,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Gated Community, Newly Renovated Homes, Home Office",https://houston.craigslist.org/apa/d/houston-gated-community-newly-renovated/7574166797.html,$965,2br,860,"9550 Long Point Road, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,Great Pricing Great Amenities Great Location!,https://houston.craigslist.org/apa/d/houston-great-pricing-great-amenities/7577174772.html,$950,1br,,Medical Center,1,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Resident Package Services, Black appliances, Home Office",https://houston.craigslist.org/apa/d/houston-resident-package-services-black/7571905763.html,$900,1br,640,"7511 Beechnut Street, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"On-Site Maintenance, Smoke-Free Building",https://houston.craigslist.org/apa/d/houston-on-site-maintenance-smoke-free/7577177112.html,$799,,305,"14703 Park Row, Houston, TX",1,"['apartment', 'no laundry on site', 'off-street parking', 'rent period: monthly']"
1/10,GREAT LIVING IN STAFFORD/ALIEF! SCHEDULE YOUR TOUR TODAY!,https://houston.craigslist.org/apa/d/stafford-great-living-in-stafford-alief/7577176239.html,"$1,875",2br,1162,SUGAR LAND/ STAFFORD,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'detached garage', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Tiled Backsplashes, Walk-In Closets, Granite Counters",https://houston.craigslist.org/apa/d/houston-tiled-backsplashes-walk-in/7574186332.html,"$1,017",2br,866,"7000 Fonvilla St, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,3-Bed | 2-Bath | 2-Car Garage | House for Rent,https://houston.craigslist.org/apa/d/missouri-city-bed-bath-car-garage-house/7569273668.html,"$1,800",3br,1214,Missouri City/Stafford,2,"['air conditioning', 'house', 'w/d hookups', 'no smoking', 'attached garage', 'rent period: monthly']"
1/10,"Gated Community, Easy Access to the West Park Tollway, Home Office",https://houston.craigslist.org/apa/d/houston-gated-community-easy-access-to/7575668151.html,$887,1br,687,"14405 Rio Bonito, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Picnic Area and Grilling, Black Appliances, New Bathtubs and Surrounds",https://houston.craigslist.org/apa/d/houston-picnic-area-and-grilling-black/7571328676.html,"$1,085",2br,1053,"6833 Beechnut Street, Houston, TX",2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Kitchenettes, Parking on site, Free utilities included",https://houston.craigslist.org/apa/d/houston-kitchenettes-parking-on-site/7573011069.html,$278,1br,,,1,"['apartment', 'laundry on site', 'off-street parking', 'rent period: weekly']"
1/10,"Built-In Bookshelves, Non-Smoking Community, Ceiling Fans",https://houston.craigslist.org/apa/d/houston-built-in-bookshelves-non/7574939193.html,"$1,292",2br,1100,"6700 Chimney Rock Rd, Houston, TX",2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
