date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
1/9,"Heat & A/C, Assigned parking, Dishwasher",https://losangeles.craigslist.org/wst/apa/d/culver-city-heat-c-assigned-parking/7576809944.html,"$3,016",1br,710,"6300 Green Valley Circle, Culver City, CA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'detached garage', 'rent period: monthly']"
1/9,"Personal Business Center, Lobby, Massage Facilities",https://losangeles.craigslist.org/lac/apa/d/los-angeles-personal-business-center/7575351163.html,"$2,575",1br,590,"300 N Beaudry Ave, Los Angeles, CA",1,"['EV charging', 'air conditioning', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly', 'wheelchair accessible']"
1/9,Check out our community today for an experience that can't be beat!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-check-out-our-community/7576809764.html,"$1,590",,427,Los Angeles - Melrose Hill,1,"['air conditioning', 'application fee details: $53', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
1/9,"2 Bed 2 Bath + Loft, Generous Linen Storage, 2-Car Garage",https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-bed-bath-loft-generous/7576105916.html,"$3,740",2br,1255,"22219 Summit Vue Lane, Woodland Hills, CA",2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'townhouse', 'w/d in unit', 'detached garage', 'rent period: monthly']"
1/9,"Laundry Facilities, Stainless Microwave, View",https://losangeles.craigslist.org/lac/apa/d/los-angeles-laundry-facilities/7573394680.html,"$2,095",,450,"1738 N. Canyon Dr, Los Angeles, CA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,"Courtyard, Air Conditioner, On-Site Maintenance",https://losangeles.craigslist.org/ant/apa/d/lancaster-courtyard-air-conditioner-on/7573305564.html,"$1,900",2br,896,"44004 Engle Way, Lancaster, CA",1.5,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly']"
1/9,"1 Bed / 1 Bath in Great Westwood Location w/ Parking, Gym +More",https://losangeles.craigslist.org/wst/apa/d/los-angeles-bed-bath-in-great-westwood/7571636001.html,"$2,775",1br,,Westwood,1,"['air conditioning', 'apartment', 'laundry on site', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
1/9,Bright Home Open Yard Space in Great Location,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-bright-home-open-yard-space-in/7576809292.html,"$3,950",3br,1412,Van Nuys,2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'house', 'w/d hookups', 'attached garage', 'rent period: monthly']"
1/9,Hold  Today Before They R All Gone 1+1 Avail 1/14 & 1/21,https://losangeles.craigslist.org/lac/apa/d/torrance-hold-today-before-they-all/7575778825.html,"$2,045",1br,575,"Redondo Beach, California",1,"['application fee details: $50 per person 18 and older', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,Controlled-entry access,https://losangeles.craigslist.org/lgb/apa/d/long-beach-controlled-entry-access/7567653042.html,"$2,597",1br,774,long beach / 562,1,"['apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
1/9,SPACIOUS 1 BEDROOM * HARDWOOD FLOORS * PETS * POOL * PARKING,https://losangeles.craigslist.org/sfv/apa/d/canoga-park-spacious-bedroom-hardwood/7568342771.html,"$1,695",1br,865,Canoga Park,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly']"
1/9,SPACIOUS MODERN 2 BEDROOM * POOL * PETS * PARKING * CENTRAL LOCATION,https://losangeles.craigslist.org/sfv/apa/d/panorama-city-spacious-modern-bedroom/7568348234.html,"$1,995",2br,1063,"Panorama City, Van Nuys",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly']"
1/9,"Love where you live!! Remodeled townhome! 3 bed, 2.75 bath!",https://losangeles.craigslist.org/sfv/apa/d/canyon-country-love-where-you-live/7574585621.html,"$3,848",3br,1309,"18005 W. Anne's Circle, Canyon Country, CA",2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'detached garage', 'rent period: monthly', 'wheelchair accessible']"
1/9,beautiful   STUDIO furnished,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-beautiful-studio-furnished/7576808672.html,"$1,735",,370,sherman oaks,1,"['open house dates', 'friday 2023-01-13', 'saturday 2023-01-14', 'sunday 2023-01-15']"
1/9,"Move in Today! Charming 1x1, Balcony Vaulted Ceiling, Pool, & More",https://losangeles.craigslist.org/sfv/apa/d/chatsworth-move-in-today-charming-1x1/7572942696.html,"$1,935",1br,627,"10025 De Soto Ave, Chatsworth, CA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/9,"Elegant Community Clubhouse, WiFi Available, Online Rental Payments",https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-elegant-community/7575370058.html,"$2,482",1br,743,"6300 Variel Ave, Los Angeles, CA",1,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/9,A VERY CLEAN AND QUITE 2+1,https://losangeles.craigslist.org/sfv/apa/d/glendale-very-clean-and-quite-21/7576034147.html,"$2,400",2br,850,Glendale,1,"['air conditioning', 'application fee details: 40', 'cats are OK - purrr', 'apartment', 'laundry on site', 'no smoking', 'carport', 'rent period: monthly']"
1/9,"Stainless-steel appliances, Refrigerator, Picturesque views",https://losangeles.craigslist.org/wst/apa/d/culver-city-stainless-steel-appliances/7576119121.html,"$3,016",1br,710,"6300 Green Valley Circle, Culver City, CA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
1/9,"NEWLY RENOVATED ADU GUESTHOUSE, WASHER DRYER, AIR CONDITIONED, PRIVATE",https://losangeles.craigslist.org/sfv/apa/d/mission-hills-newly-renovated-adu/7576097649.html,"$2,250",1br,,************* MISSION HILLS ***************,1,"['duplex', 'w/d in unit', 'street parking', 'rent period: monthly']"
1/9,"NEWLY RENOVATED ADU GUESTHOUSE, WASHER DRYER, AIR CONDITIONED, PRIVATE",https://losangeles.craigslist.org/sfv/apa/d/mission-hills-newly-renovated-adu/7576097715.html,"$2,250",1br,,************* MISSION HILLS ***************,1,"['duplex', 'w/d in unit', 'street parking', 'rent period: monthly']"
