date,title,link,price,brs,sqft,hood,bath,amenities
Oct  1,Sunny & Spacious Top Floor Flat with Office and Views in Noe Valley,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sunny-spacious-top-floor/7206608732.html,4075,2,950.0,noe valley,1Ba,"['apartment', 'w/d in unit']"
Oct  1,($3000)Look&Lease Special! Newly Renovated 4BD/2BA Parking Available!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3000looklease-special/7206608667.html,5595,4,,haight ashbury,2Ba,"['application fee details: $30 application fee', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking']"
Oct  1,Duboce triangle 3 bedrooms Apt nearby downtown for rent,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-duboce-triangle-3/7203885653.html,3980,3,,castro / upper market,1Ba,"['apartment', 'off-street parking']"
Oct  1,1 Bedroom 1 Bath Apartment in the Richmond District,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-bedroom-1-bath/7194096872.html,2300,1,,inner richmond,1Ba,"['apartment', 'no smoking']"
Oct  1,Nob Hill Efficiency Studio Bathroom Custom Hardwood FL UTILITIES INC,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nob-hill-efficiency/7205168796.html,1395,,,russian hill,1Ba,"['apartment', 'laundry in bldg', 'no smoking']"
Oct  1,Renovated w/ 2 Months FREE! 1BR/1BA w/Bay Windows,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-renovated-2-months-free/7206607380.html,2795,1,,nob hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'no smoking']"
Oct  1,"Lake Street! Spacious, Renovated 2 Bedroom! Lots of Storage!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lake-street-spacious/7206607278.html,3500,2,,richmond / seacliff,1Ba,"['application fee details: $30 Application Fee', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'no parking']"
Oct  1,"City Views, W/D in-unit, **2 months FREE** 1/2 off on parking**",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-city-views-d-in-unit-2/7206563477.html,3250,2,833.0,potrero hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,"HUGE 5 Bedroom w/ Condo Level Finishes near Haight, USF and UCSF!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-huge-5-bedroom-condo/7206594054.html,6895,5,,haight ashbury,2Ba,"['application fee details: $30 per adult', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'street parking']"
Oct  1,"Proper Design, Smartly Priced, Ready for Move In",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-proper-design-smartly/7206606328.html,3044,1,751.0,SOMA / south beach,1Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']"
Oct  1,"2 bedroom Flat, Hdwood Floors, Garage, BackYard, W/D",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-flat-hdwood/7206606108.html,3500,2,,sunset / parkside,1Ba,"['cats are OK - purrr', 'flat', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,"Unparalleled Service, Unbeatable Value",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-unparalleled-service/7206601175.html,3799,1,861.0,SOMA / south beach,1Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,"A perfect covid retreat with sweeping views, deck, and yard",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-perfect-covid-retreat/7196679368.html,3490,2,,bernal heights,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'duplex', 'w/d in unit', 'no smoking']"
Oct  1,Furnished Nob Hill 1BR w/ Gym + Sauna near Union Square (140),https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-nob-hill-1br/7206605863.html,3190,1,6500.0,Nob Hill,1Ba,"['furnished', 'apartment', 'w/d in unit', 'no smoking', 'off-street parking']"
Oct  1,Great Experiences Are Just Around The Corner,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-experiences-are/7206605797.html,2617,1,650.0,SOMA / south beach,1Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']"
Oct  1,Sprawling Light-Filled Urban Oasis | Soaring Ceilings | Newly-Remod,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sprawling-light-filled/7202110401.html,6500,5,1800.0,North Panhandle,1.5Ba,"['flat', 'w/d in unit', 'no smoking', 'no parking']"
Oct  1,Recently Renovated 1 bed/1 bath in Sunny Potrero Hill! Pet Friendly!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-recently-renovated-1-bed/7206604873.html,2525,1,,potrero hill,1Ba,"['application fee details: $30 application fee', 'apartment', 'w/d hookups', 'no smoking', 'no parking']"
Oct  1,Pac Heights 1 BR,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pac-heights-1-br/7206604764.html,3495,1,900.0,pacific heights,1Ba,"['EV charging', 'apartment', 'laundry in bldg', 'no smoking', 'off-street parking']"
Oct  1,Large 1BR/1BA in Cow Hollow,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-1br-1ba-in-cow/7202741537.html,3200,1,1000.0,marina / cow hollow,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'detached garage']"
Oct  1,Bright 1BR/1BA in Cow Hollow,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-1br-1ba-in-cow/7202741831.html,2900,1,700.0,marina / cow hollow,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'detached garage']"
