price,bedroom,sqft,neighborhood,bathroom,amenity_count,cityID
2600,1,700.0,SOMA / south beach,1,6,2
2700,1,650.0,South of Market/Mission,1,4,2
4995,5,1800.0,sunset / parkside,2,6,2
5765,3,1228.0,potrero hill,2,7,2
6580,3,1474.0,lower nob hill,2,6,2
5227,2,1078.0,hayes valley,2,7,2
3095,1,500.0,nob hill,1,6,2
3486,1,788.0,hayes valley,1,7,2
5600,3,1570.0,Bernal Heights,2,0,2
4000,3,1350.0,noe valley,2,3,2
3235,0,475.0,SOMA / south beach,1,3,2
3595,1,640.0,hayes valley,1,2,2
2019,0,441.0,lower nob hill,1,3,2
3215,1,550.0,The Presidio,1,5,2
2045,0,350.0,SOMA / south beach,1,5,2
2690,2,830.0,richmond / seacliff,1,4,2
5586,2,980.0,SOMA / south beach,2,3,2
3154,1,450.0,SOMA / south beach,1,3,2
3103,1,691.0,SOMA / south beach,1,8,2
995,0,100.0,SOMA / south beach,shared,5,2
3387,1,721.0,downtown / civic / van ness,1,6,2
700,0,170.0,san francisco,1,0,2
5750,3,1300.0,marina / cow hollow,1,6,2
2908,1,591.0,potrero hill,1,8,2
4195,2,825.0,castro / upper market,1,7,2
8000,3,1599.0,haight ashbury,2,6,2
2661,0,512.0,financial district,1,3,2
2500,1,400.0,cole valley / ashbury hts,1,7,2
4250,2,1186.0,lower pac hts,2,7,2
3486,1,596.0,SOMA / south beach,1,9,2
3200,1,925.0,richmond / seacliff,1,5,2
2700,1,700.0,San Francisco,1,4,2
5500,3,1200.0,San Francisco,2,4,2
8975,3,1500.0,Cow Hollow/Marina,2,4,2
5800,3,1400.0,cole valley / ashbury hts,split,5,2
3395,1,725.0,marina / cow hollow,1,4,2
2775,0,453.0,hayes valley,1,6,2
5995,1,1550.0,SOMA / south beach,2,5,2
5598,3,1506.0,SOMA / south beach,2,9,2
1195,0,120.0,mission district,shared,5,2
1650,0,300.0,tenderloin,1,6,2
5995,2,1200.0,pacific heights,2,5,2
2895,2,700.0,inner richmond,1,5,2
2595,1,600.0,noe valley,1,5,2
3819,2,777.0,downtown / civic / van ness,1,6,2
1795,0,450.0,tenderloin,1,6,2
2850,1,750.0,Inner Sunset,1,5,2
3215,1,450.0,The Presidio,1,5,2
2395,2,800.0,ingleside / SFSU / CCSF,1,6,2
2740,1,615.0,noe valley,1,6,2
5521,2,752.0,hayes valley,1,8,2
2250,0,700.0,excelsior / outer mission,1,4,2
5705,2,1200.0,The Presidio,2,5,2
2732,2,1151.0,bayview,2,8,2
2945,0,472.0,potrero hill,1,7,2
2750,2,1000.0,sunset / parkside,1,4,2
1929,0,441.0,lower nob hill,1,11,2
3199,1,724.0,potrero hill,1,8,2
2100,1,550.0,noe valley,1,5,2
3250,1,900.0,nob hill,1.5,6,2
2975,0,527.0,financial district,1,7,2
3490,2,777.0,potrero hill,1,9,2
1975,1,535.0,alamo square / nopa,1,3,2
4455,2,917.0,hayes valley,2,7,2
3688,1,673.0,hayes valley,1,7,2
4490,2,938.0,potrero hill,2,7,2
4596,2,804.0,mission district,2,8,2
3510,2,778.0,SOMA / south beach,2,9,2
3100,2,715.0,SOMA / south beach,1,5,2
3995,2,1400.0,inner richmond,2,5,2
3950,2,1000.0,castro / upper market,1,6,2
3500,2,1100.0,bernal heights,1,6,2
2650,0,367.0,hayes valley,1,6,2
1850,0,450.0,nob hill,1,6,2
1850,0,450.0,nob hill,1,6,2
1850,0,450.0,nob hill,1,6,2
3970,2,800.0,noe valley,1,4,2
7650,4,2000.0,cole valley / ashbury hts,4,4,2
3100,1,781.0,pacific heights,1,3,2
4911,2,1496.0,lower nob hill,2,6,2
2607,1,528.0,lower nob hill,1,3,2
2800,1,700.0,alamo square / nopa,1,3,2
1495,0,275.0,downtown / civic / van ness,1,9,2
3295,3,850.0,inner sunset / UCSF,1,6,2
1295,0,200.0,downtown / civic / van ness,1,6,2
2777,0,433.0,SOMA / south beach,1,9,2
4750,2,884.0,SOMA / south beach,2,7,2
5200,1,950.0,russian hill,1,5,2
2000,0,277.0,mission district,1,3,2
4200,3,1000.0,alamo square / nopa,1.5,4,2
2295,1,550.0,richmond / seacliff,1,4,2
1595,1,200.0,north beach / telegraph hill,1,5,2
3090,1,665.0,inner sunset / UCSF,1,8,2
3351,1,721.0,downtown / civic / van ness,1,6,2
2713,1,472.0,SOMA / south beach,1,7,2
1795,0,206.0,hayes valley,1,7,2
3556,1,604.0,mission district,1,8,2
2599,1,657.0,sunset / parkside,1,5,2
2575,1,750.0,USF / panhandle,1,4,2
2800,1,900.0,inner richmond,1,5,2
4950,2,1100.0,potrero hill,2,6,2
6195,3,1500.0,castro / upper market,2,7,2
3751,1,625.0,SOMA / south beach,1,9,2
3999,3,1039.0,city of san francisco,2,5,2
7096,3,1816.0,potrero hill,3,8,2
2499,1,580.0,SOMA / south beach,1,5,2
1750,1,600.0,tenderloin,1,6,2
4135,2,995.0,noe valley,2,6,2
15000,5,3100.0,west portal / forest hill,4.5,6,2
5436,2,907.0,SOMA / south beach,2,9,2
3400,1,671.0,hayes valley,1,7,2
2732,2,1151.0,bayview,2,8,2
3995,2,771.0,castro / upper market,1,6,2
4635,2,886.0,financial district,1,7,2
3758,2,732.0,potrero hill,2,8,2
3000,1,1180.0,potrero hill,2,7,2
4362,2,900.0,nob hill,2,6,2
3145,1,636.0,hayes valley,1,7,2
4200,2,1000.0,russian hill,1,4,2
2775,0,453.0,hayes valley,1,6,2
4000,2,1465.0,inner richmond,1,4,2
5500,2,1609.0,SOMA / south beach,2,7,2
1780,1,300.0,downtown / civic / van ness,1,4,2
2045,0,350.0,SOMA / south beach,1,5,2
1780,1,300.0,downtown / civic / van ness,1,4,2
2095,1,550.0,downtown / civic / van ness,1,5,2
5113,3,1125.0,downtown / civic / van ness,2,6,2
6300,4,2200.0,west portal / forest hill,3,6,2
5200,3,1180.0,bernal heights,2,6,2
3180,2,1098.0,city of san francisco,2,8,2
3962,1,812.0,SOMA / south beach,1,7,2
4000,3,2000.0,castro / upper market,2,6,2
6000,4,1600.0,richmond / seacliff,split,5,2
3400,1,600.0,noe valley,1,4,2
3995,1,678.0,SOMA / south beach,1,4,2
5000,3,1191.0,ingleside / SFSU / CCSF,1,5,2
995,1,120.0,north beach / telegraph hill,shared,5,2
4800,3,1300.0,twin peaks / diamond hts,2,3,2
5500,3,1500.0,richmond / seacliff,split,3,2
5050,3,1600.0,noe valley,2,3,2
3095,1,499.0,pacific heights,1,6,2
5050,3,1600.0,noe valley,2,3,2
4999,2,1001.0,hayes valley,2,6,2
2950,1,850.0,Buena Vista/Haight Ashbury,1,9,2
2950,1,850.0,Buena Vista/Haight Ashbury,1,9,2
3000,1,1180.0,potrero hill,2,7,2
2745,2,1000.0,alamo square / nopa,1.5,3,2
4795,2,1215.0,mission district,2,5,2
3000,1,1180.0,potrero hill,2,7,2
3877,2,861.0,potrero hill,2,8,2
4845,3,1265.0,noe valley,2,6,2
3000,1,1180.0,potrero hill,2,7,2
3958,2,925.0,lower pac hts,2,7,2
2400,1,610.0,downtown / civic / van ness,1,5,2
1995,0,500.0,lower pac hts,1,5,2
1290,1,682.0,San Francisco,1,6,2
7495,2,1435.0,SOMA / south beach,2,8,2
3100,2,882.0,sunset / parkside,1,5,2
3950,2,1300.0,excelsior / outer mission,1.5,5,2
4995,3,829.0,USF / panhandle,2,6,2
7250,3,1600.0,noe valley,2,5,2
8000,4,1632.0,lower pac hts,2.5,3,2
27000,5,4341.0,SOMA / south beach,5.5,7,2
12000,5,4400.0,pacific heights,5.5,8,2
12000,5,4000.0,lower pac hts,5.5,8,2
2400,1,624.0,richmond / seacliff,1,5,2
3675,1,884.0,SOMA / south beach,1.5,5,2
7250,4,1500.0,laurel hts / presidio,2,5,2
9995,5,3600.0,nob hill,5,8,2
5995,2,1255.0,marina / cow hollow,2,7,2
3050,2,662.0,inner richmond,1,5,2
3995,1,1053.0,SOMA / south beach,1.5,3,2
2200,0,600.0,San Francisco,1,4,2
7950,3,2500.0,lower pac hts,2.5,5,2
5500,3,2600.0,mission district,2,4,2
3275,2,800.0,noe valley,1,5,2
3995,1,700.0,castro / upper market,1,7,2
9475,3,2100.0,downtown / civic / van ness,3,7,2
2595,2,764.0,inner richmond,1,5,2
1995,0,335.0,pacific heights,1,5,2
7250,3,2000.0,nob hill,2.5,5,2
4999,3,1250.0,nob hill,1.5,4,2
3625,1,900.0,noe valley,1,7,2
2732,2,1151.0,bayview,2,8,2
2800,0,467.0,hayes valley,1,6,2
5990,3,1700.0,SOMA / south beach,2,4,2
6990,5,1600.0,bayview,2,6,2
3611,0,479.0,downtown / civic / van ness,1,8,2
3596,1,800.0,SOMA / south beach,1,6,2
2636,0,543.0,SOMA / south beach,1,9,2
3625,1,655.0,financial district,1,7,2
2801,1,600.0,SOMA / south beach,1,3,2
1150,3,220.0,ingleside / SFSU / CCSF,2,4,2
3995,2,775.0,hayes valley,1,6,2
3600,3,1415.0,SOMA / south beach,2.5,5,2
2575,1,768.0,inner richmond,1,6,2
4300,2,917.0,north beach / telegraph hill,2,8,2
2522,0,528.0,western addition,1,5,2
4269,2,1042.0,SOMA / south beach,2,9,2
2331,0,356.0,SOMA / south beach,1,9,2
3375,2,679.0,mission district,1,6,2
2941,1,600.0,SOMA / south beach,1,3,2
5000,5,1000.0,mission district,1.5,5,2
2490,0,472.0,SOMA / south beach,1,3,2
4177,2,1099.0,SOMA / south beach,2,6,2
1300,0,250.0,excelsior / outer mission,1,5,2
2765,1,762.0,city of san francisco,1,8,2
5000,4,1850.0,sunset / parkside,2,5,2
1750,0,550.0,excelsior / outer mission,1,5,2
2414,0,370.0,potrero hill,1,9,2
1400,0,740.0,inner richmond,1,3,2
2785,1,635.0,SOMA / south beach,1,3,2
3995,2,1000.0,SOMA / south beach,1.5,5,2
1700,0,244.0,SOMA / south beach,1,5,2
3561,1,721.0,downtown / civic / van ness,1,6,2
3610,1,704.0,SOMA / south beach,1,7,2
4700,4,1200.0,inner richmond,1.5,6,2
