price,bedroom,sqft,neighborhood,bathroom,amenity_count,cityID
1350,1,500.0,Austin,1,6,1
1725,2,1108.0,Kyle,2,9,1
2375,2,1040.0,North Lamar North Central,2,8,1
2788,1,625.0,1 MTH FREE! DT AUSTIN,1,5,1
1529,1,540.0,Austin,1,7,1
2067,0,575.0,Downtown,1,9,1
1730,2,1250.0,East Austin Walter E Long,2,9,1
1715,2,1130.0,East Austin Walter E Long,2,9,1
1715,1,740.0,Govalle East Austin Airport Central East MLK,1,9,1
3781,2,1316.0,Austin,2,6,1
1267,1,650.0,Austin,1,7,1
1465,2,925.0,Northwest/Arboretum/183,2,5,1
5867,3,1865.0,Downtown,3,6,1
1695,1,750.0,East Austin Govalle Airport,1,8,1
1730,2,1250.0,East Austin Walter E Long,2,8,1
2543,1,754.0,ATX,1,6,1
5869,3,1866.0,Austin,3,6,1
1758,2,924.0,Austin,1,8,1
5878,3,1868.0,Austin,3,6,1
3778,2,1314.0,Austin,2,6,1
1803,2,950.0,Austin,2,7,1
1674,2,976.0,South Austin,2,5,1
1855,1,692.0,East side,1,5,1
1674,2,976.0,South Austin,2,5,1
1409,1,755.0,South West Austin,1,5,1
1375,1,750.0,Southeast,1,5,1
2700,2,1155.0,South Lamar,2,5,1
1375,1,750.0,Southeast,1,5,1
1938,1,638.0,South Lamar,1,5,1
2588,3,1397.0,East side,2,5,1
2053,3,1350.0,Southeast,2,5,1
2279,2,1155.0,South Lamar,2,5,1
2500,2,1218.0,East Austin,2,5,1
2000,2,1128.0,Central,2,5,1
2338,2,1110.0,East Riverside,2,5,1
1440,1,681.0,EAST AUSTIN,1,5,1
2100,1,776.0,South Central on the lake,1,5,1
2338,2,1110.0,East Riverside,2,5,1
1674,2,976.0,South Austin,2,5,1
1989,3,1576.0,Southwest,2,5,1
2500,3,1807.0,North Round Rock,3.5,5,1
1604,2,1080.0,Southwest Austin,2,5,1
1475,1,700.0,North Lamar North Central,1,8,1
1978,2,1281.0,North Central,2,5,1
1674,2,976.0,South Austin,2,5,1
3050,2,1604.0,Zilker,2.5,5,1
1308,1,811.0,South Austin,1,5,1
2338,2,1110.0,East Riverside,2,5,1
1896,1,776.0,South Central on the lake,1,5,1
1397,1,707.0,South West,1,5,1
2338,2,1110.0,East Riverside,2,5,1
1308,1,811.0,South Austin,1,5,1
1674,2,976.0,South Austin,2,5,1
1438,1,604.0,East Austin,1,5,1
1299,1,630.0,South Austin,1,5,1
1227,1,575.0,Bee Caves,1,5,1
2250,2,1052.0,Highland,2,5,1
2053,3,1350.0,Southeast,2,5,1
1862,1,516.0,East Austin,1,5,1
1896,1,776.0,South Central on the lake,1,5,1
1227,1,575.0,Bee Caves,1,5,1
1144,1,351.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
2338,2,1110.0,East Riverside,2,5,1
1510,2,1033.0,South Austin,2,4,1
1310,1,645.0,La Fronterra,1,6,1
1674,2,1111.0,East Side,2,5,1
2160,2,1047.0,SOUTH LAMAR,2,5,1
1750,1,875.0,South Congress,1,5,1
1618,2,1078.0,Bee Caves,2,5,1
2160,2,1047.0,SOUTH LAMAR,2,5,1
2053,3,1350.0,Southeast,2,5,1
1666,1,688.0,East Riverside,1,5,1
1310,2,1033.0,South Austin,2,5,1
1760,1,640.0,East Austin,1,5,1
1775,1,900.0,Southwest,1,5,1
3050,2,1604.0,ZILKER,2.5,6,1
1420,1,679.0,South,1,5,1
1755,2,963.0,South Austin,2,5,1
2499,2,1218.0,East Austin,2,5,1
1775,1,900.0,Southwest,1,5,1
1854,1,692.0,Eastside / Downtown,1,5,1
1335,1,728.0,South Austin,1,5,1
899,0,288.0,"9220 N Interstate Hwy 35, Austin, TX",1,7,1
2800,2,1200.0,South Lamar,2,5,1
2328,2,1095.0,Eastside / Downtown,2,5,1
1837,2,1136.0,Brentwood,2,5,1
1335,1,728.0,South Austin,1,5,1
1757,2,1287.0,South West,2,5,1
1262,1,516.0,East Austin,1,5,1
2500,2,1200.0,South Lamar,2,5,1
1675,2,1100.0,southeast,2,5,1
1374,2,976.0,South Austin,2,5,1
1230,0,512.0,Round Rock,1,5,1
1450,1,875.0,South Congress,1,5,1
1230,1,705.0,west,1,5,1
1248,1,607.0,Round Rock North,1,5,1
1775,1,900.0,Southwest,1,5,1
1227,1,575.0,Bee Caves,1,5,1
1904,2,1080.0,Southwest Austin,2,5,1
2437,2,1136.0,Brentwood,2,5,1
1949,3,1367.0,South Austin,2,5,1
2053,3,1350.0,Southeast,2,5,1
2616,2,1003.0,Downtown,2,5,1
1558,2,1127.0,Stoney Brook,2,5,1
1289,0,513.0,East Austin,1,6,1
1325,1,661.0,Bee Caves,1,5,1
1359,1,684.0,West Austin,1,5,1
3050,2,1604.0,ZILKER,2.5,6,1
2500,2,1050.0,South Lamar,2,5,1
1661,1,856.0,Brentwood,1,5,1
