price,bedroom,sqft,bathroom,amenity_count,cityID
1200,0,540.0,1.0,6,9
1710,3,1223.0,2.0,8,9
1292,2,925.0,1.0,7,9
2205,3,1306.0,2.0,8,9
1277,1,665.0,1.0,8,9
1165,1,363.0,1.0,6,9
1566,2,1140.0,2.0,8,9
1660,2,1104.0,2.0,8,9
799,2,1000.0,1.0,5,9
1370,2,931.0,2.0,6,9
1850,3,1296.0,2.0,8,9
1675,1,820.0,1.0,7,9
1185,1,600.0,1.0,7,9
1460,2,1026.0,2.0,7,9
1075,1,560.0,1.0,7,9
1500,2,1136.0,2.0,7,9
1446,2,1025.0,2.0,8,9
1800,3,1286.0,2.0,8,9
1195,1,642.0,1.0,7,9
1195,1,642.0,1.0,6,9
1295,1,675.0,1.0,6,9
